title,url,has_R,has_tidy,has_shiny,has_python,has_rstudio,has_fee
Shiny Essentials (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333074,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Master the Tidyverse: An Introduction to R for Data Science (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333076,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Joint Modeling of Longitudinal and Time-to-Event Data (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333077,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Bayesian Thinking: Fundamentals, Computation, and Multilevel Modeling (ADDED FEE)",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333079,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Propensity Score Methods: Concepts and Applications (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333078,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Advanced R (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333075,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Introduction to the Design of Cluster Randomized Trials (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333080,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Preparing Statisticians for Leadership: How to See the Big Picture and Have More Influence (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333081,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Statistical and Computational Methods and Software for Microbiome and Metagenomics and Applications (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333083,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Preparing Statisticians for Leadership: How to See the Big Picture and Have More Influence (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333082,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Master the Tidyverse: An Introduction to R for Data Science (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333087,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Regression Modeling Strategies (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333084,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Art and Practice of Regression Trees and Forests (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333086,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Practical Considerations for Bayesian and Frequentist Adaptive Clinical Trials (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333085,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Data Science Workflows Using R and Spark (ADDED FEE),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333088,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
JSM Presentation Skills Workshop (FREE - NO REGISTRATION REQUIRED),http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333073,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Some Thoughts on AIG from a Canadian Perspective,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=327127,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A Four-Part Introduction to Deep Learning,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=333054,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The Role of Statistics in Improving Forensic Science,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/AbstractDetails.cfm?abstractid=326975,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
